ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,host_country,is_host,type_of_event
10448,"Isaac ""Ike"" Berger",M,27.0,157.0,59.5,USA,USA,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Silver,Japan,False,individual_games
10457,"Marcus ""Mark"" Berger",M,30.0,185.0,116.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Heavyweight,Bronze,USA,False,individual_games
10464,"Samuel ""Sam"" Berger",M,19.0,188.0,82.0,USA,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Heavyweight,Gold,USA,True,individual_games
10467,Tora Berger (-Tveldal),F,28.0,166.0,56.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 15 kilometres,Gold,Canada,False,individual_games
10467,Tora Berger (-Tveldal),F,32.0,166.0,56.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 10 kilometres Pursuit,Silver,Russia,False,individual_games
10484,Gunnar Alf Erik Berggren,M,20.0,,,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Lightweight,Bronze,Netherlands,False,individual_games
10520,Arnfinn Bergmann,M,23.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold,Norway,True,individual_games
10539,Eric Bergoust,M,28.0,183.0,77.0,USA,USA,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Men's Aerials,Gold,Japan,False,individual_games
10544,Kajsa Margareta Bergqvist (-Herngren-),F,23.0,175.0,59.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's High Jump,Bronze,Australia,False,individual_games
10555,Jacob Jorrit Bergsma,M,28.0,188.0,73.0,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze,Russia,False,individual_games
10555,Jacob Jorrit Bergsma,M,28.0,188.0,73.0,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,"Speed Skating Men's 10,000 metres",Gold,Russia,False,individual_games
10591,Denys Yuriyovych Berinchyk,M,24.0,170.0,64.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,Silver,UK,False,individual_games
10592,Glenn Stuart Beringen,M,19.0,185.0,72.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Silver,USA,False,individual_games
10614,Krisztin Berki,M,27.0,178.0,70.0,Hungary,HUN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,UK,False,individual_games
10618,"David Charles ""Dave"" Berkoff",M,21.0,175.0,70.0,USA,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,Silver,South Korea,False,individual_games
10618,"David Charles ""Dave"" Berkoff",M,25.0,175.0,70.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Spain,False,individual_games
10625,"Robert Lee ""Bob"" Berland",M,22.0,188.0,95.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,Silver,USA,True,individual_games
10627,Per Gunnar Brje Berlin,M,30.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,Finland,False,individual_games
10627,Per Gunnar Brje Berlin,M,35.0,,,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,Australia,False,individual_games
10641,Yanet Bermoy Acosta,F,21.0,154.0,48.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,Silver,China,False,individual_games
10641,Yanet Bermoy Acosta,F,25.0,154.0,48.0,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Silver,UK,False,individual_games
10674,Alain Andr Louis Edmond Bernard,M,25.0,196.0,90.0,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,Bronze,China,False,individual_games
10674,Alain Andr Louis Edmond Bernard,M,25.0,196.0,90.0,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Gold,China,False,individual_games
10699,Philip William Samuel Bernard,M,,,,UK,GBR,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze,Belgium,False,individual_games
10744,Hans Bernhardt,M,22.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,Netherlands,False,individual_games
10751,Sylvie Bernier,F,20.0,157.0,53.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Springboard,Gold,USA,False,individual_games
10756,Louis Bernot,M,,,,France,FRA,1920 Summer,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Heavyweight,Bronze,Belgium,False,individual_games
10766,Hedda Helene Berntsen,F,33.0,167.0,62.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Silver,Canada,False,individual_games
10798,Livio Berruti,M,21.0,180.0,66.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,Gold,Italy,True,individual_games
10804,Kevin John Berry,M,19.0,172.0,71.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Butterfly,Gold,Japan,False,individual_games
10834,Nicolas Joseph Flix Berthelot,M,24.0,178.0,69.0,France,FRA,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver,South Korea,False,individual_games
10841,Georges Camille Berthet,M,20.0,,,France,FRA,1924 Winter,1924,Winter,Chamonix,Military Ski Patrol,Military Ski Patrol Men's Military Ski Patrol,Bronze,France,True,individual_games
10872,Romeo Bertini,M,31.0,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,Silver,France,False,individual_games
10874,Silvano Bertini,M,24.0,170.0,67.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Welterweight,Bronze,Japan,False,individual_games
10913,Pierre Louis Marie Bertran de Balanda,M,40.0,,,France,FRA,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual",Silver,Netherlands,False,individual_games
10953,Ralph (Erich) Berzsenyi (Beusterien),M,27.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,Germany,False,individual_games
10973,Doina Ofelia Beliu-Melinte,F,27.0,171.0,59.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,Gold,USA,False,individual_games
